@RELATION 'church0.names'

@ATTRIBUTE chip_affymetrix_chip {A,B,C,D,A-D}
@ATTRIBUTE pp_number_of_probe_pairs numeric
@ATTRIBUTE a_fy4_a numeric
@ATTRIBUTE alpha_fy5_alpha numeric
@ATTRIBUTE gal_gal numeric
@ATTRIBUTE heat_heat numeric
@ATTRIBUTE rel_alpha_fy5_alpha numeric
@ATTRIBUTE rel_gal_gal numeric
@ATTRIBUTE rel_heat_heat numeric
@ATTRIBUTE avg_abund numeric
@ATTRIBUTE median_deviation_of_log_fc_gal numeric
@ATTRIBUTE sig_gal numeric
@ATTRIBUTE sig_and_fc_gal numeric
@ATTRIBUTE median_deviation_of_log_fc_fy5_alpha numeric
@ATTRIBUTE sig_fy5_alpha numeric
@ATTRIBUTE sig_and_fc_fy5_alpha numeric
@ATTRIBUTE median_deviation_of_log_fc_heat numeric
@ATTRIBUTE sig_heat numeric
@ATTRIBUTE sig_and_fc_heat numeric
@ATTRIBUTE thrshld_1=below_detection_fy4_a numeric
@ATTRIBUTE thrshld_1=below_detection_fy5_alpha numeric
@ATTRIBUTE thrshld_1=below_detection_gal numeric
@ATTRIBUTE thrshld_1=below_detection_heat numeric
@ATTRIBUTE thrshld_gal numeric
@ATTRIBUTE thrshld_fy5_alpha numeric
@ATTRIBUTE thrshld_heat numeric
@ATTRIBUTE below_threshold_in_all_conditions numeric
@ATTRIBUTE class hierarchical 1/0/0/0,1/1/0/0,1/1/1/0,1/1/1/11,1/1/1/15,1/1/1/7,1/1/10/0,1/1/10/1,1/1/10/5,1/1/4/0,1/1/7/0,1/1/99/0,1/2/0/0,1/2/1/0,1/2/4/0,1/20/0/0,1/20/1/0,1/20/1/7,1/20/17/0,1/20/17/3,1/3/0/0,1/3/1/0,1/3/10/0,1/3/13/0,1/3/16/0,1/3/16/1,1/3/19/0,1/3/4/0,1/3/7/0,1/3/99/0,1/4/0/0,1/4/1/0,1/4/4/0,1/4/7/0,1/4/99/0,1/5/0/0,1/5/1/0,1/5/1/3,1/5/4/0,1/5/7/0,1/5/99/0,1/6/0/0,1/6/1/0,1/6/1/1,1/6/1/3,1/6/1/7,1/6/10/0,1/6/13/0,1/6/4/0,1/6/7/0,1/6/99/0,1/7/0/0,1/7/1/0,1/7/10/0,1/7/4/0,1/7/7/0,1/7/99/0,10/0/0/0,10/1/0/0,10/1/1/0,10/1/5/0,10/1/5/5,10/1/9/0,10/1/9/11,10/1/99/0,10/5/0/0,11/0/0/0,11/1/0/0,11/10/0/0,11/10/3/0,11/7/0/0,11/7/1/0,11/7/99/0,11/99/0/0,13/0/0/0,13/1/0/0,13/1/1/0,13/1/1/1,13/1/1/3,13/1/1/99,13/1/3/0,13/1/3/1,13/1/3/3,13/1/3/5,13/1/3/99,13/11/0/0,13/11/3/0,13/11/3/13,13/11/3/1,13/11/3/7,14/0/0/0,14/1/0/0,14/1/3/0,14/1/3/99,14/10/0/0,14/10/2/0,14/10/2/1,14/20/0/0,14/4/0/0,14/4/3/0,14/4/3/1,14/4/3/3,14/4/3/5,2/0/0/0,2/1/0/0,2/10/0/0,2/11/0/0,2/11/5/0,2/11/99/0,2/13/0/0,2/16/0/0,2/19/0/0,2/22/0/0,2/25/0/0,2/7/0/0,2/99/0/0,29/0/0/0,29/99/0/0,3/0/0/0,3/1/0/0,3/1/3/0,3/1/5/0,3/1/5/1,3/1/9/0,3/1/9/5,3/3/0/0,3/3/1/0,3/3/1/3,3/3/2/0,3/3/3/0,3/3/4/0,3/3/4/3,3/3/4/5,3/99/0/0,30/0/0/0,30/1/0/0,30/10/0/0,30/10/3/0,30/16/0/0,30/19/0/0,30/2/0/0,30/22/0/0,30/25/0/0,30/3/0/0,30/4/0/0,30/7/0/0,30/8/0/0,30/9/0/0,30/99/0/0,4/0/0/0,4/1/0/0,4/1/1/0,4/1/4/0,4/1/99/0,4/3/0/0,4/3/1/0,4/3/3/0,4/3/6/0,4/3/99/0,4/5/0/0,4/5/1/0,4/5/1/1,4/5/1/4,4/5/5/0,4/5/5/1,4/5/5/5,4/5/99/0,4/7/0/0,4/99/0/0,40/0/0/0,40/1/0/0,40/10/0/0,40/10/3/0,40/16/0/0,40/19/0/0,40/2/0/0,40/22/0/0,40/25/0/0,40/27/0/0,40/3/0/0,40/30/0/0,40/4/0/0,40/5/0/0,40/7/0/0,40/8/0/0,40/9/0/0,40/99/0/0,5/0/0/0,5/1/0/0,5/10/0/0,5/4/0/0,5/4/1/0,5/4/2/0,5/7/0/0,5/99/0/0,6/0/0/0,6/1/0/0,6/10/0/0,6/13/0/0,6/13/1/0,6/13/1/1,6/13/4/0,6/13/4/2,6/13/99/0,6/4/0/0,6/7/0/0,6/7/1/0,6/7/11/0,6/7/2/0,6/7/3/0,6/7/4/0,6/7/99/0,6/99/0/0,62/0/0/0,62/2/0/0,62/2/5/0,63/0/0/0,63/1/0/0,63/9/0/0,67/0/0/0,67/1/0/0,67/1/1/0,67/10/0/0,67/11/0/0,67/13/0/0,67/16/0/0,67/19/0/0,67/28/0/0,67/4/0/0,67/4/1/0,67/4/1/1,67/4/1/2,67/4/7/0,67/50/0/0,67/50/22/0,67/50/25/0,67/50/99/0,67/7/0/0,67/7/99/0,67/99/0/0,8/0/0/0,8/1/0/0,8/10/0/0,8/13/0/0,8/16/0/0,8/19/0/0,8/22/0/0,8/4/0/0,8/7/0/0,8/99/0/0

@DATA
B,20,0.78,0.5,0.43,0.6,-0.01,0,0.05,0.58,0.07,0,0,0.15,0.1,0,0.11,0.45,0,?,?,?,?,5,?,?,0,14/4/3/1@14/4/3/5@40/8/0/0@8/7/0/0 %  ytygl054c
B,20,0.33,0.33,0.49,1.37,-0,0,0.37,0.63,0.06,0,0,0.15,0.1,0,0.18,2.06,1,?,?,?,?,5,1,?,0,1/1/1/0@1/2/4/0 %  ytygr019w
D,20,0.14,0.23,0.23,0.28,-0.01,0.13,0.11,0.22,0.18,0.7,0,0.11,0.1,0,0.29,0.38,0,?,?,?,?,?,?,?,0,30/10/0/0@40/10/0/0@6/4/0/0@8/1/0/0 %  ytynl189w
D,20,0.23,0.27,0.69,0.67,-0.01,0.33,0.32,0.47,0.1,3.3,1,0.1,0.1,0,0.1,3.2,1,?,?,?,?,?,?,?,0,1/1/1/0@40/3/0/0 %  ytyor202w
D,20,0.62,0.55,0.79,0.7,-0.01,0.07,0,0.67,0.19,0.4,0,0.13,0.1,0,0.13,0,0,?,?,?,?,?,?,?,0,1/3/4/0 %  ytypr062w
D,20,0.16,0.19,0.22,0.19,-0.01,0.09,0.04,0.19,0.23,0.4,0,0.11,0.1,0,0.11,0.36,0,?,?,?,?,?,?,?,0,4/1/1/0@4/3/1/0@40/10/0/0 %  ytypr110c
A,20,0.1,0.11,0.13,0.18,-0.02,0,0,0.13,0.09,0,0,0.19,0.1,0,0.05,0,0,?,?,?,?,4,?,5,0,3/3/1/0 %  ytybr276c
A,21,0.11,0.11,0.2,0.14,-0.02,0.11,0,0.14,0.19,0.6,0,0.2,0.1,0,0.09,0,0,?,?,?,?,?,?,5,0,40/7/0/0@6/4/0/0@8/7/0/0 %  ytydr498c
A-D,624,0.28,0.18,0.3,0.2,-0.02,0,0.02,0.24,0.13,0,0,0.17,0.1,0,0.18,0.11,0,?,?,1,1,5,?,2,0,4/1/1/0@4/3/1/0@4/5/1/1@40/10/0/0 %  ytyer148w
B,20,0.44,0.53,0.9,0.69,-0.02,0.27,0.07,0.64,0.24,1.1,1,0.11,0.2,0,0.15,0.47,0,?,?,?,?,?,?,?,0,1/1/1/0@2/10/0/0@40/16/0/0 %  ytyfl018c
B,20,0.66,0.78,0.43,0.73,-0.02,0.04,0.14,0.65,0.15,0.3,0,0.1,0.2,0,0.2,0.7,0,?,?,?,?,2,?,?,0,1/6/1/0@40/7/0/0@40/99/0/0 %  ytygr175c
B,20,0.53,0.52,1.1,0.95,-0.02,0.18,0.29,0.78,0.2,0.9,0,0.13,0.2,0,0.13,2.23,1,?,?,?,?,?,?,?,0,4/1/4/0@40/10/0/0 %  ytyhl034c
B,20,0.76,0.41,0.12,0.61,-0.02,-0.5,-0.13,0.48,0.28,1.8,1,0.21,0.1,0,0.15,0.87,0,?,?,?,?,1,?,?,0,1/5/7/0@40/2/0/0@67/7/0/0@8/19/0/0 %  ytyhr092c
B,21,0.12,0.07,0.11,0.09,-0.02,0,0,0.10,0.05,0,0,0.05,0.4,0,0.18,0,0,?,?,?,?,5,?,5,0,1/1/10/0 %  ytyil042c
C,21,0.4,0.51,0.55,0.85,-0.02,0.16,0.03,0.58,0.24,0.7,0,0.19,0.1,0,0.2,0.15,0,?,?,?,?,2,?,?,0,13/1/1/3@2/13/0/0@40/16/0/0@67/50/22/0@8/4/0/0 %  ytykl016c
C,43,11.7,11.9,8.58,9.2,-0.02,-0.11,-0.1,10.34,0.14,0.8,0,0.14,0.1,0,0.12,0.83,0,?,?,?,?,?,?,?,0,40/3/0/0@5/1/0/0 %  ytykl180w
C,20,0.51,0.44,0.33,0.53,-0.02,0,0.1,0.45,0.18,0,0,0.23,0.1,0,0.25,0.4,0,?,?,?,?,5,?,2,0,1/3/1/0 %  ytylr359w
D,20,10.1,12.1,12.9,7.72,-0.02,-0.05,-0.01,10.69,0.09,0.6,0,0.06,0.3,0,0.17,0.06,0,?,?,?,?,?,?,?,0,11/1/0/0 %  ytymr251w-a
D,21,0.96,1.53,0.89,0.89,-0.02,-0.05,-0.13,1.07,0.17,0.3,0,0.1,0.2,0,0.17,0.76,0,?,?,?,?,?,?,?,0,1/1/7/0@40/2/0/0@67/10/0/0@8/19/0/0 %  ytynl268w
D,21,0.1,0.15,0.14,0.15,-0.02,-0.09,0.02,0.14,0.25,0.4,0,0.09,0.2,0,0.15,0.13,0,1,?,?,?,?,?,2,0,40/3/0/0@5/10/0/0 %  ytyor168w
D,21,1.03,0.97,1.26,1.51,-0.02,0.09,0.13,1.19,0.12,0.8,0,0.14,0.1,0,0.11,1.18,0,?,?,?,?,?,?,?,0,40/16/0/0@5/4/0/0 %  ytyor187w
D,20,1.04,0.63,1.73,2.74,-0.02,0.19,0.43,1.54,0.09,2.1,0,0.13,0.2,0,0.12,3.58,1,?,?,?,?,?,?,?,0,1/1/1/0@1/2/1/0@40/3/0/0 %  ytypr035w
A,41,0.8,0.64,0.55,0.69,-0.03,-0.13,0.01,0.67,0.06,2.2,0,0.1,0.3,0,0.11,0.09,0,?,?,?,?,?,?,?,0,14/4/3/5@3/3/2/0@30/1/0/0 %  ytybr078w
A,20,3.3,3.09,3.09,1.85,-0.03,-0.11,-0.14,2.83,0.07,1.6,0,0.05,0.6,0,0.09,1.56,0,?,?,?,?,?,?,?,0,40/3/0/0@5/1/0/0 %  ytydr447c
B,20,0.27,0.25,0.27,0.38,-0.03,-0.05,0.03,0.29,0.09,0.6,0,0.08,0.4,0,0.15,0.2,0,?,?,?,?,?,?,?,0,11/1/0/0@13/11/3/13@40/2/0/0 %  ytyer118c
B,20,0.37,0.36,0.47,0.38,-0.03,0.13,0.01,0.40,0.06,2.2,0,0.14,0.2,0,0.17,0.06,0,?,?,?,?,?,?,?,0,40/7/0/0@40/8/0/0@40/9/0/0@8/7/0/0 %  ytyil109c
C,21,0.47,0.39,0.29,0.54,-0.03,0,0.11,0.42,0.18,0,0,0.17,0.2,0,0.14,0.79,0,?,?,?,?,5,?,2,0,40/8/0/0@8/7/0/0 %  ytykr068c
D,20,2.07,1.62,2.68,1.55,-0.03,0.1,-0.09,1.98,0.13,0.8,0,0.14,0.2,0,0.14,0.64,0,?,?,?,?,?,?,?,0,8/7/0/0 %  ytynl044w
D,20,0.41,0.43,0.57,0.46,-0,0.15,-0.07,0.47,0.14,1.1,0,0.19,0.2,0,0.11,0.64,0,?,?,?,?,2,2,?,0,1/6/1/0@40/16/0/0 %  ytynl169c
D,20,0.2,0.18,0.25,0.27,-0.03,0.08,0.05,0.23,0.14,0.6,0,0.17,0.2,0,0.11,0.45,0,?,?,?,?,?,?,?,0,4/3/99/0@40/10/0/0 %  ytyor039w
D,20,0.42,0.55,0.61,0.67,-0.03,0.01,0,0.56,0.16,0.1,0,0.11,0.3,0,0.15,0,0,?,?,?,?,?,?,4,0,2/13/0/0@40/16/0/0 %  ytypr004c
D,20,0.29,0.24,0.49,0.39,-0.03,0.09,0,0.35,0.21,0.4,0,0.17,0.2,0,0.16,0,0,?,?,?,?,?,?,?,0,1/20/17/3@30/1/0/0 %  ytypr069c
A,20,17.4,16,11.8,11.7,-0.04,-0.14,-0.14,14.22,0.05,2.8,0,0.06,0.7,0,0.08,1.75,0,?,?,?,?,?,?,?,0,40/3/0/0@5/1/0/0 %  ytybr031w
A,20,0.21,0.18,0.15,0.14,-0.04,0.02,0,0.17,0.14,0.1,0,0.13,0.3,0,0.07,0,0,?,?,?,?,?,?,5,0,40/7/0/0@6/4/0/0@67/99/0/0@8/99/0/0 %  ytybr171w
A,21,0.1,0.08,0.1,0.1,-0.04,0,0,0.10,0.09,0,0,0.24,0.2,0,0.07,0,0,?,?,?,?,5,?,5,0,4/3/6/0 %  ytydl112w
A,21,0.21,0.21,0.26,0.24,-0.04,0.11,0.06,0.23,0.12,0.9,0,0.17,0.2,0,0.07,0.86,0,?,?,?,?,?,?,?,0,14/4/3/5@40/3/0/0@6/13/1/0@6/7/0/0@8/13/0/0 %  ytydr177w
B,21,1.89,1.74,1.18,2.07,-0.04,-0.2,0.05,1.72,0.16,1.3,1,0.14,0.3,0,0.17,0.29,0,?,?,?,?,?,?,?,0,1/6/10/0@10/1/99/0@4/5/1/4@40/10/0/0 %  ytyfl031w
A-D,629,3.67,3.35,3.59,4.14,-0.04,-0.06,0.05,3.69,0.18,0.3,0,0.18,0.2,0,0.19,0.26,0,?,?,?,?,?,?,?,0,14/4/3/1@3/3/1/0@40/4/0/0@8/19/0/0 %  ytyfl039c
B,20,0.17,0.18,0.19,0.31,-0,0,0.02,0.21,0.08,0,0,0.09,0.4,0,0.19,0.11,0,?,?,?,?,5,1,?,0,4/3/1/0@40/10/0/0 %  ytygl019w
D,21,0.69,0.73,0.89,0.72,-0.04,0.07,-0.07,0.76,0.13,0.5,0,0.15,0.3,0,0.06,1.17,0,?,?,?,?,?,?,?,0,1/7/1/0@13/1/1/1@40/16/0/0 %  ytyor176w
A,16,1.31,1.11,1.39,0.47,-0.05,-0.01,-0.48,1.07,0.08,0.1,0,0.08,0.6,0,0.12,4,1,?,?,?,?,?,?,?,0,4/5/1/4@40/10/3/0 %  ytybl003c
A,20,0.1,0.18,0.17,0.16,-0.05,-0.08,0,0.15,0.09,0.9,0,0.26,0.2,0,0.04,0,0,?,?,?,?,?,?,5,0,30/25/0/0@40/3/0/0@40/9/0/0@8/16/0/0@8/19/0/0@8/7/0/0 %  ytybl050w
A,20,0.1,0.11,0.13,0.1,-0.05,0,0,0.11,0.09,0,0,0.16,0.3,0,0.08,0,0,1,?,?,?,4,?,5,0,29/0/0/0 %  ytycr020c-a
A,20,0.25,0.32,0.19,0.21,-0.05,0,0,0.24,0.1,0,0,0.15,0.3,0,0.11,0,0,?,?,?,?,5,?,5,0,4/5/1/4@40/10/0/0 %  ytycr084c
A,20,0.47,0.38,0.33,0.42,-0.05,-0.1,-0.07,0.40,0.06,1.7,0,0.06,0.8,0,0.09,0.78,0,?,?,?,?,?,?,?,0,40/3/0/0@5/10/0/0 %  ytydr023w
A,20,0.32,0.26,0.36,0.29,-0.05,-0.01,-0.03,0.31,0.07,0.1,0,0.14,0.4,0,0.05,0.6,0,?,?,?,?,?,?,?,0,40/3/0/0@5/10/0/0 %  ytydr341c
A,20,0.19,0.16,0.22,0.1,-0.05,-0.06,-0.1,0.17,0.07,0.9,0,0.15,0.3,0,0.08,0.75,0,?,?,?,1,?,?,1,0,1/1/1/0@40/3/0/0 %  ytydr354w
B,20,3.65,2.59,4.14,5.92,-0.05,0,-0.01,4.08,0.1,0,0,0.13,0.4,0,0.15,0.07,0,?,?,?,?,5,?,?,0,1/3/16/0@40/3/0/0@5/4/0/0 %  ytyel034w
B,20,0.68,0.79,0.79,1.41,-0.05,-0.05,0.17,0.92,0.13,0.4,0,0.14,0.4,0,0.14,1.21,0,?,?,?,?,?,?,?,0,1/3/13/0@1/3/19/0@40/2/0/0@67/16/0/0@8/19/0/0 %  ytyer056c
B,20,0.73,0.39,0.1,0.91,-0.05,-0.7,0.12,0.53,0.31,2.2,1,0.07,0.7,0,0.16,0.75,0,?,?,?,?,1,?,?,0,3/1/5/0 %  ytyer190w
B,21,0.65,0.84,0.67,0.99,-0.05,0,0.05,0.79,0.11,0,0,0.11,0.5,0,0.13,0.38,0,?,?,?,?,?,?,?,0,4/3/6/0@40/3/0/0 %  ytygl105w
B,20,0.11,0.1,0.2,0.07,-0.1,0.22,0,0.11,0.22,1,1,0.09,0.6,0,0.18,0,0,?,1,?,?,?,1,5,0,1/4/1/0@1/5/1/0 %  ytyhr043c
B,20,0.8,1.03,1.51,0.96,-0.1,0.03,0,1.08,0.12,0.3,0,0.12,0.4,0,0.15,0,0,?,?,?,?,?,1,?,0,40/7/0/0@6/7/0/0 %  ytyir022w
B,21,0.19,0.16,0.15,0.21,-0.05,-0.05,-0.08,0.18,0.04,1.3,0,0.07,0.7,0,0.16,0.5,0,?,?,?,?,?,?,?,0,3/1/3/0 %  ytyjl065c
C,20,0.4,0.42,0.3,0.39,-0.05,0,0,0.37,0.14,0,0,0.13,0.4,0,0.17,0,0,?,?,1,?,5,?,4,0,1/6/1/0@40/99/0/0 %  ytyml008c
A,20,3.47,2.96,2.1,1.7,-0.06,-0.22,-0.32,2.56,0.11,2,1,0.07,0.9,0,0.1,3.2,1,?,?,?,?,?,?,?,0,40/3/0/0@5/1/0/0 %  ytybl092w
A,26,1.58,1.2,1.69,2.78,-0.06,0.07,0.24,1.81,0.07,1,0,0.06,1,0,0.08,3,1,?,?,?,?,?,?,?,0,11/1/0/0@14/4/3/3@14/4/3/5@40/3/0/0@6/13/1/0@6/7/0/0@8/13/0/0 %  ytybr082c
A,20,0.11,0.11,0.1,0.11,-0.06,0,0,0.10,0.1,0,0,0.22,0.3,0,0.03,0,0,?,?,1,?,5,?,5,0,13/1/1/1@4/99/0/0 %  ytycl037c
A,20,9.07,6.59,5.58,6.13,-0.06,-0.16,-0.22,6.84,0.05,3.2,0,0.05,1.2,0,0.06,3.67,1,?,?,?,?,?,?,?,0,11/1/0/0@40/2/0/0 %  ytydr033w
A,20,0.1,0.11,0.13,0.13,-0.06,-0.06,0,0.12,0.06,1,0,0.25,0.2,0,0.07,0,0,?,?,?,?,?,?,5,0,4/3/3/0@4/7/0/0@40/10/0/0@8/1/0/0 %  ytydr395w
A,21,0.26,0.27,0.24,0.27,-0.06,0,0.01,0.26,0.09,0,0,0.1,0.6,0,0.09,0.11,0,?,?,?,?,5,?,?,0,1/3/1/0@40/3/0/0 %  ytydr408c
B,26,0.14,0.1,0.1,0.15,-0.1,-0.1,0.1,0.12,0.08,1.3,0,0.08,0.8,0,0.15,0.67,0,?,1,?,?,1,1,?,0,40/4/0/0 %  ytyfr024c-a
C,21,0.4,0.4,0.3,0.48,-0.06,0,-0.03,0.37,0.13,0,0,0.18,0.3,0,0.14,0.21,0,1,?,1,?,5,?,?,0,40/4/0/0@8/22/0/0 %  ytykl013c
C,20,0.8,0.75,0.43,1.33,-0.06,-0.14,0.13,0.83,0.06,2.3,0,0.16,0.4,0,0.18,0.72,0,?,?,?,?,?,?,?,0,1/5/1/0@1/5/4/0@2/1/0/0@40/3/0/0 %  ytymr205c
D,20,1.29,1.28,1.37,1.83,-0.06,-0.05,0.09,1.44,0.1,0.5,0,0.08,0.8,0,0.11,0.82,0,?,?,?,?,?,?,?,0,3/3/1/0@40/10/0/0@40/3/0/0@5/4/0/0 %  ytynl007c
D,21,0.23,0.23,0.35,0.36,-0.06,0.27,0.24,0.29,0.21,1.3,1,0.08,0.8,0,0.15,1.6,1,?,?,?,?,?,?,?,0,13/1/1/1@40/2/0/0@6/4/0/0@67/4/1/1@8/19/0/0 %  ytyol122c
D,20,0.1,0.17,0.25,0.14,-0.06,0.22,0.03,0.17,0.11,2,1,0.1,0.6,0,0.16,0.19,0,1,?,?,?,?,?,?,0,4/5/1/1@40/10/0/0 %  ytypr086w
A,21,0.42,0.32,0.31,0.37,-0.07,-0.04,0,0.36,0.1,0.4,0,0.1,0.7,0,0.06,0,0,?,?,?,?,?,?,5,0,13/1/1/1@67/4/1/1 %  ytybr207w
A,20,0.7,0.62,0.7,1,-0.07,0,0.12,0.76,0.08,0,0,0.1,0.7,0,0.1,1.2,0,?,?,?,?,4,?,?,0,1/1/10/0 %  ytycl064c
A,22,3.87,3.76,2.79,2.04,-0.07,-0.14,-0.22,3.12,0.07,2,0,0.09,0.8,0,0.07,3.14,1,?,?,?,?,?,?,?,0,40/3/0/0@5/1/0/0 %  ytydl061c
A,20,1.43,1.01,2.49,1.15,-0.07,0.28,-0.09,1.52,0.09,3.1,1,0.08,0.9,0,0.07,1.29,0,?,?,?,?,?,?,?,0,2/13/0/0@40/16/0/0@6/10/0/0 %  ytydl067c
A,66,1.57,1.75,1.45,1.03,-0.07,0,-0.1,1.45,0.09,0,0,0.19,0.4,0,0.13,0.77,0,?,?,?,?,5,?,?,0,40/3/0/0@5/1/0/0 %  ytydl075w
A,20,2.28,1.68,2.78,1.61,-0.07,0.14,-0,2.09,0.11,1.3,0,0.09,0.8,0,0.1,0.3,0,?,?,?,?,?,?,1,0,1/1/1/0 %  ytydr158w
A,20,3.6,3.35,2.35,3,-0.07,-0.19,-0.09,3.08,0.07,2.7,0,0.08,0.9,0,0.06,1.5,0,?,?,?,?,?,?,?,0,40/3/0/0@5/4/0/0 %  ytydr385w
B,20,0.27,0.13,0.5,0.27,-0.07,0.37,0.03,0.29,0.12,3.1,1,0.1,0.7,0,0.21,0.14,0,?,?,?,?,?,?,2,0,1/1/1/0@40/16/0/0 %  ytyer069w
B,20,0.39,0.23,0.22,0.35,-0.1,-0.09,0.04,0.30,0.12,0.8,0,0.09,0.8,0,0.21,0.19,0,?,?,?,?,?,1,?,0,11/1/0/0@14/4/3/1@3/3/1/0@4/5/1/4@40/10/0/0 %  ytygl181w
B,20,0.27,0.27,0.39,0.37,-0.07,0.04,0.08,0.33,0.18,0.2,0,0.09,0.8,0,0.1,0.8,0,?,?,?,?,?,?,?,0,30/1/0/0@40/7/0/0@8/7/0/0 %  ytyhr142w
D,20,0.16,0.15,0.16,0.21,-0.07,-0.04,0.14,0.17,0.18,0.2,0,0.16,0.4,0,0.1,1.4,0,?,?,?,?,?,?,2,0,1/3/13/0@1/5/4/0@10/1/5/5@11/1/0/0@13/11/3/1@14/10/0/0@14/4/3/5@3/3/1/0@40/2/0/0 %  ytynl098c
D,21,0.1,0.12,0.18,0.12,-0.07,0.05,0,0.13,0.18,0.3,0,0.04,1.8,0,0.12,0,0,1,?,?,?,?,?,4,0,11/7/0/0@13/1/1/1@40/8/0/0 %  ytyor079c
D,21,0.42,0.4,0.86,0.35,-0.07,0.16,-0.05,0.51,0.14,1.1,0,0.04,1.8,0,0.09,0.56,0,?,?,?,?,?,?,?,0,11/7/0/0@67/28/0/0 %  ytyor273c
A,20,2.94,2.79,1.98,1.94,-0.08,-0.15,-0.21,2.41,0.07,2.1,0,0.07,1.1,0,0.09,2.33,1,?,?,?,?,?,?,?,0,40/3/0/0@5/1/0/0 %  ytybr189w
A,21,0.75,0.63,0.61,0.62,-0.08,-0.09,-0.11,0.65,0.07,1.3,0,0.07,1.1,0,0.05,2.2,0,?,?,?,?,?,?,?,0,1/5/1/0@2/1/0/0@40/16/0/0 %  ytybr221c
A,20,0.15,0.22,0.12,0.16,-0.08,0,0,0.16,0.09,0,0,0.18,0.4,0,0.1,0,0,?,?,?,?,5,?,5,0,11/1/0/0 %  ytycr104w
A,21,7.08,6.41,4.79,4.32,-0.08,-0.22,-0.26,5.65,0.1,2.2,1,0.1,0.8,0,0.05,5.2,1,?,?,?,?,?,?,?,0,40/3/0/0@5/1/0/0 %  ytydr064w
A,21,0.7,0.57,0.6,0.71,-0.08,-0.04,0,0.65,0.08,0.5,0,0.11,0.7,0,0.03,0,0,?,?,?,?,?,?,5,0,1/7/1/0@40/16/0/0 %  ytydr232w
A,21,0.1,0.09,0.09,0.1,-0.08,0,0,0.09,0.09,0,0,0.25,0.3,0,0.02,0,0,1,?,?,1,5,?,5,0,4/1/4/0 %  ytydr280w
B,20,0.11,0.1,0.12,0.06,-0.08,0,0,0.09,0.06,0,0,0.1,0.8,0,0.2,0,0,?,1,?,?,5,?,5,0,3/3/1/0 %  ytyer066w
B,20,0.62,0.51,0.52,1.26,-0.08,0,0.15,0.73,0.17,0,0,0.15,0.5,0,0.18,0.83,0,?,?,?,?,5,?,?,0,14/4/3/1@14/4/3/3@40/4/0/0 %  ytyil034c
C,21,0.4,0.29,0.26,0.43,-0.08,0,0.08,0.33,0.13,0,0,0.21,0.4,0,0.24,0.33,0,1,?,?,?,5,?,2,0,1/3/4/0@40/10/0/0@40/3/0/0 %  ytykl024c
D,20,0.2,0.22,0.17,0.26,-0.08,-0.12,0.07,0.21,0.12,1,0,0.07,1.1,0,0.11,0.64,0,?,?,?,?,?,?,?,0,1/1/7/0@40/2/0/0@67/10/0/0 %  ytypl265w
A,21,0.65,0.41,0.98,0.63,-0.09,0.19,-0.07,0.67,0.07,2.7,0,0.07,1.3,0,0.09,0.78,0,?,?,?,?,?,?,?,0,13/1/1/3@2/13/0/0@40/16/0/0@67/50/22/0@8/4/0/0 %  ytybr039w
A,21,0.51,0.48,0.35,0.3,-0.09,-0.03,-0.06,0.41,0.07,0.4,0,0.08,1.1,0,0.05,1.2,0,?,?,?,?,?,?,?,0,1/5/4/0@14/4/3/3@3/3/1/0@3/3/3/0@40/4/0/0 %  ytycr002c
A,20,0.11,0.12,0.13,0.1,-0.09,-0.08,0,0.12,0.11,0.7,0,0.25,0.4,0,0.08,0,0,?,?,?,1,?,?,5,0,11/1/0/0 %  ytycr060w
A,20,0.14,0.12,0.11,0.24,-0.09,-0.03,0.11,0.15,0.1,0.3,0,0.09,1,0,0.11,1,0,?,?,?,?,?,?,2,0,4/1/4/0 %  ytydl111c
A,20,0.1,0.09,0.1,0.11,-0.09,0,0,0.10,0.09,0,0,0.13,0.7,0,0.04,0,0,1,?,?,?,5,?,5,0,40/3/0/0@6/1/0/0 %  ytydl143w
A,21,0.88,0.62,0.66,0.48,-0.09,-0.08,-0.15,0.66,0.08,1,0,0.15,0.6,0,0.07,2.14,0,?,?,?,?,?,?,?,0,40/7/0/0@6/4/0/0@67/99/0/0@8/99/0/0 %  ytydr086c
B,20,4.55,3.37,3.05,4.88,-0.09,0.01,0.02,3.96,0.06,0.2,0,0.08,1.1,0,0.09,0.22,0,?,?,?,?,?,?,?,0,1/1/4/0@4/5/1/4@40/10/0/0 %  ytyel009c
C,20,1.02,0.67,0.43,0.81,-0.09,-0.3,-0.14,0.73,0.13,2,1,0.15,0.6,0,0.12,1.17,0,?,?,?,?,1,?,?,0,1/6/1/0 %  ytyjl196c
C,20,2.32,2.48,0.81,3.08,-0.09,-0.42,0.14,2.17,0.2,2.1,1,0.07,1.3,0,0.18,0.78,0,?,?,?,?,?,?,?,0,1/5/1/0@2/19/0/0@6/7/0/0 %  ytykl035w
D,20,0.95,0.47,3.03,2.58,-0.09,0.59,0.38,1.76,0.23,2.6,1,0.14,0.6,0,0.11,3.45,1,?,?,?,?,2,?,?,0,40/3/0/0@6/13/0/0 %  ytynl015w
D,21,0.13,0.11,0.21,0.19,-0.09,0.07,0.14,0.16,0.23,0.3,0,0.02,4.5,0,0.19,0.74,0,?,?,?,?,?,?,?,0,5/1/0/0 %  ytynl081c
